gameID,season,country,bowler,style,overs,maidens,runs,wickets,rpo,average,extras
16,2,Bangladesh,T. Ahmed,RF,25,2,106,1,4.24,106.00,4
16,2,Bangladesh,S. Al Hasan,LO,15.3,3,21,2,1.35,10.50,
17,2,West Indies,S. Gabriel,RF,66,20,159,1,2.41,159.00,8
17,2,West Indies,K. Roach,RFM,65,5,339,4,5.22,84.75,6
17,2,West Indies,R. Cornwall,RO,47,19,57,1,1.21,57.00,6
17,2,West Indies,J. Holder,RMF,55,14,178,3,3.24,59.33,2
17,2,West Indies,R.Chase,RO,22,10,24,1,1.09,24.00,2
18,2,Pakistan,M. Abbas,RMF,56,10,264,3,4.71,88.00,3
18,2,Pakistan,J. Khan,LF,41,11,134,1,3.27,134.00,7
18,2,Pakistan,Y. Shah,RL,49,13,101,1,2.06,101.00,8
18,2,Pakistan,H. Ali,RMF,51,8,186,5,3.65,37.20,2
19,2,South Africa,K. Rabada,RF,63,9,327,2,5.19,163.50,15
19,2,South Africa,L. Ngidi,RF,51.4,3,347,1,6.72,347.00,18
19,2,South Africa,K. Maharaj,LO,63,19,114,3,1.81,38.00,6
19,2,South Africa,D. Paterson,RFM,48,24,76,1,1.58,76.00,4
19,2,South Africa,D. Pretorius,RMF,38,0,197,2,5.18,98.50,13
20,2,Sri Lanka,S. Lakmal,RFM,59.1,13,206,4,3.48,51.50,7
20,2,Sri Lanka,L. Kumara,RF,47,5,188,2,4.00,94.00,5
20,2,Sri Lanka,D. Perera,RO,54,20,91,1,1.69,91.00,2
20,2,Sri Lanka,N. Pradeep,RFM,42,9,162,0,3.86,#N/A,10
20,2,Sri Lanka,D. de Silva,RO,20,7,29,1,1.45,29.00,1
20,2,Sri Lanka,A. Mathews,RM,5,2,13,0,2.60,#N/A,0
